<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RTSI,60,20210111,110000,1464.9400000,1466.1100000,1453.6600000,1461.0000000,241449577
RTSI,60,20210111,120000,1460.8400000,1487.9000000,1460.6300000,1486.4500000,371036165
RTSI,60,20210111,130000,1486.4700000,1488.5600000,1480.1600000,1480.8600000,170198622
RTSI,60,20210111,140000,1480.8400000,1481.2500000,1475.1000000,1478.4800000,167619244
RTSI,60,20210111,150000,1478.5600000,1482.0400000,1476.1400000,1478.7200000,120739905
RTSI,60,20210111,160000,1478.7100000,1483.4800000,1478.4800000,1480.3200000,157736898
RTSI,60,20210111,170000,1480.3500000,1480.3500000,1460.0000000,1460.0000000,236749241
RTSI,60,20210111,180000,1459.9200000,1466.3900000,1450.5500000,1465.4400000,260571701
RTSI,60,20210111,190000,1465.4100000,1470.8700000,1462.7500000,1466.5600000,188728443
RTSI,60,20210112,110000,1474.2300000,1496.0400000,1474.1600000,1491.0800000,294996284
RTSI,60,20210112,120000,1491.0900000,1492.5700000,1480.7000000,1483.3600000,208052348
RTSI,60,20210112,130000,1483.4000000,1487.9900000,1481.1800000,1486.3500000,125135061
RTSI,60,20210112,140000,1486.3600000,1488.6800000,1484.5800000,1484.8500000,75409192
RTSI,60,20210112,150000,1484.8100000,1488.7500000,1482.8100000,1483.8200000,95902434
RTSI,60,20210112,160000,1483.8400000,1486.6700000,1481.5500000,1485.8700000,106436544
RTSI,60,20210112,170000,1485.8900000,1486.4900000,1471.4200000,1473.4200000,154305630
RTSI,60,20210112,180000,1473.3300000,1478.2900000,1467.9600000,1473.5400000,215391857
RTSI,60,20210112,190000,1473.4900000,1485.6800000,1472.8600000,1484.9600000,141767027
RTSI,60,20210113,110000,1497.4300000,1503.2100000,1488.9800000,1488.9800000,241151895
RTSI,60,20210113,120000,1489.0100000,1491.8700000,1480.1400000,1481.2700000,194626026
RTSI,60,20210113,130000,1481.3100000,1488.4900000,1477.9400000,1483.8200000,138867854
RTSI,60,20210113,140000,1483.8100000,1486.1800000,1476.4100000,1477.3300000,128189422
RTSI,60,20210113,150000,1477.3300000,1485.4200000,1474.4900000,1485.3600000,118468166
RTSI,60,20210113,160000,1485.3400000,1486.2000000,1479.4300000,1480.4600000,101995130
RTSI,60,20210113,170000,1480.4600000,1485.1800000,1477.5300000,1484.5000000,109832064
RTSI,60,20210113,180000,1484.5200000,1485.5700000,1473.2900000,1478.2400000,179206472
RTSI,60,20210113,190000,1478.1100000,1486.7700000,1476.1200000,1486.7700000,144593416
RTSI,60,20210114,110000,1478.8800000,1484.0000000,1466.2500000,1478.7100000,245946737
RTSI,60,20210114,120000,1478.7500000,1494.7400000,1477.8400000,1493.2600000,185818687
RTSI,60,20210114,130000,1493.2000000,1493.4900000,1486.7800000,1491.2600000,107571228
RTSI,60,20210114,140000,1491.2600000,1500.2000000,1490.1700000,1497.1100000,190151052
RTSI,60,20210114,150000,1497.2800000,1499.4900000,1494.7300000,1498.6500000,103597623
RTSI,60,20210114,160000,1498.6300000,1503.7000000,1494.1900000,1498.6900000,159094998
RTSI,60,20210114,170000,1498.6900000,1498.7900000,1489.3200000,1491.9400000,132806142
RTSI,60,20210114,180000,1492.0300000,1505.5600000,1491.9800000,1500.9000000,202437740
RTSI,60,20210114,190000,1500.9100000,1502.0300000,1498.3000000,1500.5800000,156085444
RTSI,60,20210115,110000,1498.3600000,1499.6500000,1488.3700000,1496.7800000,196369140
RTSI,60,20210115,120000,1496.7800000,1504.2900000,1495.4700000,1495.8300000,182065095
RTSI,60,20210115,130000,1495.6800000,1507.0600000,1494.3500000,1505.4400000,118755479
RTSI,60,20210115,140000,1505.4300000,1505.4300000,1498.4500000,1499.7800000,82723764
RTSI,60,20210115,150000,1499.8000000,1500.1600000,1490.5100000,1494.0000000,127983270
RTSI,60,20210115,160000,1494.0800000,1494.0800000,1487.9600000,1489.8200000,165322072
RTSI,60,20210115,170000,1489.4100000,1490.9600000,1485.1700000,1488.4100000,120340776
RTSI,60,20210115,180000,1488.4600000,1490.7700000,1485.9400000,1486.2800000,141229587
RTSI,60,20210115,190000,1486.2100000,1487.0100000,1470.9200000,1474.2800000,290530713
RTSI,60,20210118,110000,1470.2100000,1470.2100000,1459.7800000,1462.2400000,250481986
