<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,60,20210111,110000,282.7500000,282.8500000,279.4800000,282.8000000,10682660
SBER,60,20210111,120000,282.8000000,290.5000000,282.7200000,290.1100000,23398690
SBER,60,20210111,130000,290.1800000,290.3500000,287.8500000,288.1300000,8483540
SBER,60,20210111,140000,288.1300000,289.4900000,286.7500000,289.1100000,7612690
SBER,60,20210111,150000,289.1800000,290.1700000,288.5700000,289.7700000,5651950
SBER,60,20210111,160000,289.7700000,292.9500000,289.6900000,292.1000000,12633250
SBER,60,20210111,170000,292.0200000,292.1000000,288.7600000,289.8100000,11353360
SBER,60,20210111,180000,289.8100000,290.4300000,285.9600000,289.0900000,16156450
SBER,60,20210111,190000,289.0600000,290.0000000,287.3300000,288.8500000,11680940
SBER,60,20210111,200000,289.0000000,289.5000000,288.3000000,289.4700000,1867160
SBER,60,20210111,210000,289.4700000,289.8900000,289.2600000,289.6000000,802020
SBER,60,20210111,220000,289.6000000,290.1900000,289.1200000,289.4000000,921700
SBER,60,20210111,230000,289.4200000,289.4600000,288.8800000,289.3700000,513620
SBER,60,20210112,000000,289.3700000,289.6700000,289.2200000,289.4900000,452370
SBER,60,20210112,110000,290.5000000,296.0700000,289.0000000,294.6200000,22795280
SBER,60,20210112,120000,294.6400000,295.0000000,291.2700000,292.5000000,13851390
SBER,60,20210112,130000,292.4700000,293.6700000,291.8000000,293.0000000,5333280
SBER,60,20210112,140000,293.0000000,294.0200000,292.5400000,292.8000000,3046250
SBER,60,20210112,150000,292.8400000,293.3400000,291.7300000,292.3200000,3457480
SBER,60,20210112,160000,292.3100000,292.7000000,291.5700000,292.2700000,3380760
SBER,60,20210112,170000,292.2900000,292.4300000,288.5000000,288.9400000,8398480
SBER,60,20210112,180000,288.9400000,289.4000000,286.7000000,288.5100000,9379580
SBER,60,20210112,190000,288.5100000,288.8000000,287.5400000,288.4500000,4422520
SBER,60,20210112,200000,288.4400000,288.4500000,287.6000000,287.8700000,1195380
SBER,60,20210112,210000,287.8000000,288.8500000,287.1100000,288.7300000,1409610
SBER,60,20210112,220000,288.6500000,288.7700000,288.0900000,288.5600000,629580
SBER,60,20210112,230000,288.5600000,289.6500000,288.4800000,289.5600000,782880
SBER,60,20210113,000000,289.5600000,290.0000000,289.4400000,289.9900000,807630
